site,lat,lon
Boise_High 2022,43.20847803,-116.9951781
Boise_Low 2022,43.333643,-116.708793
CaseAoyamaS1 2022,43.47110267,-119.6833963
CaseAoyamaS1 2023,43.47110267,-119.6833963
CastValley 2021,38.677,-109.417
CG PASTURE 2022,41.21283,-104.852501
CG PASTURE 2023,41.21283,-104.852501
dino 2024,40.422908,-109.249642
EnsingS1 SuRDC 2022,49.561619,-119.652027
EnsingS2 Summerland-Princeton 2022,49.616744,-119.797613
EnsingS3 Bear Creek 2022,49.939567,-119.505992
EnsingS4 Lundbom 2022,50.097899,-120.60262
EOARC 2022,43.467044,-119.700795
FAR NORTH CPER 2022,40.856915,-104.713075
FAR NORTH CPER 2023,40.856915,-104.713075
FtK_Cottonwood_Coulee 2021,46.3863,-105.9526
FtK_Cottonwood_Coulee 2022,46.3863,-105.9526
FtK_Lone_Pine 2021,46.347,-105.8464
FtK_Lone_Pine 2022,46.347,-105.8464
GoeblS1 2024,39.550182,-105.095917
GreenCanyon 2021,41.766018,-111.789327
GreenCanyon 2022,41.766018,-111.789327
GreenCanyon 2023,41.766018,-111.789327
HardwareRanch 2022,41.613286,-111.567217
HardwareRanch 2023,41.613286,-111.567217
HPGRS AGCR 2022,41.177913,-104.899046
HPGRS AGCR 2023,41.177913,-104.899046
K1_vanDiepen 2022,41.221569,-106.136433
L1_vanDiepen 2022,41.217483,-105.925447
MPG_IR 2021,46.691,-114.022
MPG_IR 2022,46.691,-114.022
MPG_SR 2021,46.664,-114.001
MPG_SR 2022,46.664,-114.001
MPG_TH 2021,46.673,-114.006
MPG_TH 2022,46.673,-114.006
NEAR 4WAY CPER 2022,40.812673,-104.714491
NEAR 4WAY CPER 2023,40.812673,-104.714491
NEAR HQ CPER 2022,40.835791,-104.763785
NEAR HQ CPER 2023,40.835791,-104.763785
NEAR NUTNET 2022,40.839464,-104.717125
NEAR NUTNET 2023,40.839464,-104.717125
OttS1 2022,43.777398,-102.607243
Pearlwise 2024,42.33939,-118.80428
Peavine 2022,39.591003,-119.878406
Peavine 2024,39.591003,-119.878406
Plymouth 2022,39.072101,-119.783711
Plymouth 2024,39.072101,-119.783711
PMR- Brome 2021,40.625,-105.271
PMR- Brome 2022,40.625,-105.271
PMR- Pine 2021,40.625,-105.271
PMR- Pine 2022,40.625,-105.271
RedBluff 2023,45.579969,-111.664617
Rush_Valley 2022,40.0906,-112.305
SouthEden 2022,41.926717,-111.275659
SouthEden 2023,41.926717,-111.275659
SouthEden 2024,41.926717,-111.275659
SSHigh 2022,44.295988,-112.096947
SSHigh 2023,44.295988,-112.096947
SSHigh 2024,44.295988,-112.096947
SSHQ 2022,44.246799,-112.213263
SSHQ 2023,44.246799,-112.213263
SSHQ 2024,44.246799,-112.213263
Symstad1 2021,43.35653,-103.541
Symstad1 2022,43.35653,-103.541
Symstad2 2022,43.3562,-103.54046
TB FIRE 2022,43.31193,-105.125329
TB FIRE 2023,43.31193,-105.125329
TB LC Control 2022,43.327853,-105.112892
TB LC Control 2023,43.327853,-105.112892
TB PRAIRIE DOG 2022,43.338797,-105.133254
TB PRAIRIE DOG 2023,43.338797,-105.133254
Woodruff 2022,41.56042,-111.172565
Woodruff 2023,41.56042,-111.172565
